,Title,Address or Zone,Property Details,Url,Image,Source Info,Source Date or Published Date (Days),Price,No of Bedroom Available,Floor Size or Property Size sq. feet
0,Connaught Avenue Taman Connaught Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Pls call kaeryn wong at 012.550.8616*. Leasehold property. 950 sf. Medium floor. Fully renovated unit and fully furnished unit. Well kept unit. 2,http://rd.trovit.com/id.c1zN1g1M1U1Y1v/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.1/,//img-ap-1.trovit.com/img1my/c1zN1g1M1U1Y1v/c1zN1g1M1U1Y1v.1_10.jpg,iProperty,30+ days ago,MYR 355000,3,950
1,Emerald Hill Alam Damai Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Emerald Hills Alam Damai Cheras Kuala Lumpur FOR SALE Call in to view now! TZEWEI 017-8234--- Whatsapp: SUPER VALUE Packages: Low Down...,http://rd.trovit.com/id.7SO1Y1i1w1QV/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.2/,//img-ap-1.trovit.com/img1my/7SO1Y1i1w1QV/7SO1Y1i1w1QV.1_10.jpg,iProperty,30+ days ago,MYR 463500,2,840
2,Emerald Hill Alam Damai Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Emerald Hills Alam Damai Cheras Kuala Lumpur FOR SALE Call in to view now! TZEWEI 017-8234--- Whatsapp: SUPER VALUE Packages: Low Down...,http://rd.trovit.com/id.1kQ1W1C1o3an/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.3/,//img-ap-1.trovit.com/img1my/1kQ1W1C1o3an/1kQ1W1C1o3an.1_10.jpg,iProperty,30+ days ago,MYR 455800,3,840
3,Emerald Hill Alam Damai Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Emerald Hills Alam Damai Cheras Kuala Lumpur FOR SALE Call in to view now! TZEWEI 017-8234--- Whatsapp: SUPER VALUE Packages: Low Down...,http://rd.trovit.com/id.JWQ1V131F161R/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.4/,//img-ap-1.trovit.com/img1my/JWQ1V131F161R/JWQ1V131F161R.1_10.jpg,iProperty,30+ days ago,MYR 458650,2,840
4,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.VZ1u1r151S7T/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.5/,#NA,propertyguru.com.my,30+ days ago,MYR 470000,3,1050
5,Jalan-Jejaka-5-Taman-Maluri-Cheras-Kuala-Lumpur, 56100 Kuala Lumpur Federal Territory of Kuala Lumpur ,Jalan Jejaka 5 Taman Maluri Cheras Kuala Lumpur 4 storey corner FOR 2206 sq. Ft l Price: RM 3430000 Property details: = 4 storey corner...,http://rd.trovit.com/id.1s15D1hR1Gb1k/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.6/,#NA,EdgeProp.my,30+ days ago,MYR 3430000,1,2206
6,Emerald Hill Alam Damai Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Emerald Hills Alam Damai Cheras Kuala Lumpur FOR SALE Call in to view now! TZEWEI 017-8234--- Whatsapp: SUPER VALUE Packages: Low Down...,http://rd.trovit.com/id.1icX1Ed1L6d/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.7/,#NA,iProperty,30+ days ago,MYR 458800,2,840
7,Vista Harmoni Taman Len Seng Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,Brandon 0126397---. For Sale. Very low density. Just 236 unit. Very peaceful and cozy environment. Very good condition. Previously was owner occu,http://rd.trovit.com/id.efh1c21Z21H/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.8/,#NA,iProperty,30+ days ago,MYR 390000,3,1029
8,Emerald Hill Alam Damai Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Emerald Hills in Alam Damai Cheras Kuala Lumpur For Sale HOC 2019 (HOME OWNERSHIP CAMPAIGN) free mot  loan stamp duty for all buyers. Bumi...,http://rd.trovit.com/id.7111J-61b1Lh/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.9/,#NA,iProperty,30+ days ago,MYR 459096,2,840
9,Connaught Avenue Taman Connaught Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,For viewing and more enquiry welcome to contact me on: Jackson Yong 0192773---. 300 meter walking distance to MRT station. Within 5 minutes drivi,http://rd.trovit.com/id.x2MRM1I1u1Z/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.10/,#NA,iProperty,10 days ago,MYR 305000,3,950
