published_days,price,no_of_bedroom,property_size,price_per_square
30,455800,3,840,542.6190476
30,456265,2,840,543.172619
30,450000,2,840,535.7142857
30,448600,2,840,534.047619
3,398000,3,900,442.2222222
30,680000,3,1195,569.0376569
30,450010,3,850,529.4235294
25,305000,3,950,321.0526316
11,399000,3,940,424.4680851
13,150000,3,664,225.9036145
30,447800,3,850,526.8235294
30,462820,3,850,544.4941176
30,448300,4,850,527.4117647
30,448100,3,850,527.1764706
30,480000,3,1050,457.1428571
5,1200000,2,1650,727.2727273
30,461097,3,850,542.4670588
29,540000,3,1079,500.463392
30,550000,3,1050,523.8095238
30,550000,3,1079,509.7312326
30,801720,2,829,967.092883
30,550000,2,920,597.826087
30,485000,3,1070,453.271028
9,500000,3,1050,476.1904762
30,500000,3,1047,477.5549188
30,450000,2,854,526.9320843
30,410000,3,910,450.5494505
30,480000,3,1080,444.4444444
30,260000,3,800,325
4,650000,2,800,812.5
16,530000,3,1250,424
30,478000,3,1050,455.2380952
3,490000,3,1050,466.6666667
27,530000,3,1079,491.1955514
24,365000,3,975,374.3589744
30,310000,3,980,316.3265306
30,538000,3,1079,498.6098239
30,300000,3,806,372.2084367
30,499000,3,1062,469.8681733
30,340000,3,1006,337.972167
13,175000,2,570,307.0175439
30,148000,2,600,246.6666667
30,410000,3,920,445.6521739
30,388000,2,800,485
30,500000,3,1054,474.3833017
30,390000,2,850,458.8235294
30,853800,2,750,1138.4
30,350000,3,926,377.9697624
30,385000,3,920,418.4782609
30,330000,3,748,441.1764706
21,190000,3,650,292.3076923
30,380000,3,830,457.8313253
16,300000,3,732,409.8360656
24,450000,3,1015,443.3497537
30,650000,3,1227,529.7473513
30,1001300,3,864,1158.912037
30,378000,2,850,444.7058824
30,488000,3,1060,460.3773585
30,188000,3,650,289.2307692
24,400000,2,739,541.2719892
30,460000,3,1307,351.9510329
30,539888,3,1368,394.6549708
30,499000,3,1062,469.8681733
30,179000,3,600,298.3333333
30,175000,3,650,269.2307692
30,328000,1,610,537.704918
30,170000,3,873,194.7308133
30,169999,3,650,261.5369231
7,400000,3,1008,396.8253968
30,1380000,1,1300,1061.538462
30,390000,3,920,423.9130435
29,495000,3,1374,360.2620087
30,330000,3,935,352.9411765
30,455000,4,1000,455
30,535000,3,957,559.0386625
12,169000,3,650,260
30,440000,2,885,497.1751412
30,170000,3,873,194.7308133
30,1300000,5,2059,631.3744536
12,117000,2,603,194.0298507
30,1300000,5,2059,631.3744536
3,169000,3,650,260
30,330000,3,745,442.9530201
2,500000,3,1050,476.1904762
2,530000,3,1087,487.5804968
24,165000,3,741,222.6720648
30,464078,2,840,552.4738095
3,520000,3,1020,509.8039216
30,470800,3,923,510.0758397
30,428000,3,940,455.3191489
5,238000,3,770,309.0909091
30,150000,3,650,230.7692308
30,465800,2,840,554.5238095
24,405000,3,1013,399.8025666
11,405000,3,1013,399.8025666
30,530000,3,1050,504.7619048
30,530000,3,1280,414.0625
20,268000,3,950,282.1052632
11,457457,2,840,544.5916667
30,550000,3,1110,495.4954955
30,1050000,2,850,1235.294118
30,490000,4,1207,405.965203
30,480000,4,1142,420.3152364
3,189000,2,807,234.2007435
30,900000,3,1808,497.7876106
30,480000,4,910,527.4725275
30,850000,2,915,928.9617486
30,900000,2,947,950.3695882
30,400000,3,910,439.5604396
30,150000,3,650,230.7692308
19,480000,3,850,564.7058824
30,950000,2,883,1075.87769
11,379888,3,1079,352.0741427
30,390000,3,650,600
16,250000,3,785,318.4713376
24,130000,3,781,166.453265
30,388000,3,950,408.4210526
4,598000,4,1490,401.3422819
30,400000,3,926,431.9654428
30,130000,3,710,183.0985915
30,300000,3,980,306.122449
30,198000,3,630,314.2857143
30,370000,3,920,402.173913
2,838000,6,1500,558.6666667
30,1400000,3,1405,996.4412811
30,525000,3,1221,429.97543
30,130000,2,603,215.5887231
30,190000,2,841,225.921522
21,500000,3,1050,476.1904762
2,385000,3,1085,354.8387097
9,170000,3,665,255.6390977
30,389700,3,1097,355.2415679
7,389000,3,1060,366.9811321
13,220000,2,650,338.4615385
30,510000,2,920,554.3478261
11,366000,3,1066,343.3395872
30,422900,3,1037,407.8109932
30,387500,3,1045,370.8133971
30,370000,3,1043,354.7459252
14,220000,3,650,338.4615385
30,450000,3,1018,442.043222
6,230000,3,782,294.1176471
30,375000,3,1085,345.6221198
8,383870,3,1140,336.7280702
30,390000,2,675,577.7777778
24,348000,4,1600,217.5
19,380000,3,1104,344.2028986
12,370000,3,1140,324.5614035
30,395000,3,1130,349.5575221
30,436000,3,1066,409.0056285
13,408000,3,1010,403.960396
30,240000,3,650,369.2307692
24,330000,3,1021,323.2125367
11,388888,3,1048,371.0763359
26,429700,3,1018,422.1021611
6,380000,3,830,457.8313253
30,433000,3,1032,419.5736434
30,135000,2,600,225
30,446020,3,850,524.7294118
30,340000,3,833,408.1632653
30,480000,2,700,685.7142857
30,387600,3,1065,363.943662
30,386000,3,1039,371.5110683
30,430000,3,1142,376.5323993
30,410000,3,1080,379.6296296
29,250000,3,872,286.6972477
23,388880,3,1062,366.1770245
2,380500,3,1120,339.7321429
24,145000,3,843,172.004745
30,283050,3,995,284.4723618
30,990000,2,953,1038.824764
30,495000,1,849,583.0388693
30,420000,4,1000,420
16,173000,3,650,266.1538462
30,330000,3,950,347.3684211
30,459650,3,850,540.7647059
3,180000,2,662,271.9033233
24,202500,3,735,275.5102041
30,396000,3,1039,381.1357074
30,339000,3,650,521.5384615
30,460000,1,838,548.9260143
15,320000,3,936,341.8803419
4,333000,3,926,359.6112311
24,117000,3,710,164.7887324
4,300000,3,990,303.030303
24,190000,3,741,256.4102564
27,420000,3,913,460.0219058
2,380850,3,1070,355.9345794
30,373000,3,1040,358.6538462
29,589000,3,1050,560.952381
10,229700,3,947,242.5554382
30,320000,3,650,492.3076923
30,405000,3,1195,338.9121339
12,379600,3,1056,359.469697
24,117000,3,603,194.0298507
3,801000,4,1798,445.4949944
27,117000,2,603,194.0298507
24,290000,4,954,303.9832285
30,225000,3,753,298.8047809
10,440000,3,922,477.2234273
30,207000,3,775,267.0967742
30,277020,3,904,306.4380531
23,414000,3,926,447.0842333
5,145000,3,700,207.1428571
25,238000,2,650,366.1538462
30,339000,3,650,521.5384615
30,370000,2,800,462.5
30,360000,2,800,450
30,469800,3,1161,404.6511628
24,390000,3,914,426.6958425
30,520000,3,1276,407.523511
30,565000,3,1010,559.4059406
5,550000,3,1035,531.4009662
30,230000,2,580,396.5517241
30,420000,3,1000,420
30,450000,4,1650,272.7272727
30,380000,3,950,400
30,410000,2,825,496.969697
30,500000,2,920,543.4782609
30,538000,2,774,695.0904393
30,403500,5,2196,183.7431694
30,320000,2,780,410.2564103
30,630000,3,1400,450
30,570000,3,1010,564.3564356
30,190000,3,670,283.5820896
30,470000,2,920,510.8695652
30,185000,2,570,324.5614035
30,185000,3,650,284.6153846
30,530000,2,930,569.8924731
30,415000,3,927,447.6806904
30,480000,2,825,581.8181818
24,365000,3,930,392.4731183
14,818000,3,1700,481.1764706
30,500000,2,900,555.5555556
30,320000,3,806,397.0223325
30,172000,3,650,264.6153846
30,430000,3,920,467.3913043
5,270000,3,780,346.1538462
30,430000,4,1142,376.5323993
30,1290000,4,2059,626.5177271
