price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
220000.0,3.0,2.0,635.0,Apartment,Kuala Lumpur,346.45669291338584
120000.0,3.0,2.0,650.0,Apartment,Kuala Lumpur,184.6153846153846
310000.0,3.0,2.0,920.0,Apartment,Kuala Lumpur,336.95652173913044
100000.0,2.0,1.0,635.0,Apartment,Others,157.48031496062993
200000.0,3.0,2.0,700.0,Apartment,Kuala Lumpur,285.7142857142857
220000.0,3.0,2.0,730.0,Apartment,Ampang,301.36986301369865
195000.0,3.0,2.0,932.0,Apartment,Kuala Lumpur,209.2274678111588
280000.0,3.0,2.0,1001.0,Apartment,Others,279.72027972027973
180000.0,3.0,1.0,650.0,Apartment,Kuala Lumpur,276.9230769230769
179000.0,3.0,1.0,600.0,Apartment,Kuala Lumpur,298.3333333333333
243000.0,3.0,2.0,1062.0,Apartment,Others,228.8135593220339
320000.0,3.0,2.0,957.0,Apartment,Ampang,334.3782654127482
275000.0,3.0,1.0,872.0,Apartment,Ampang,315.3669724770642
515000.0,3.0,2.0,1400.0,Apartment,Ampang,367.85714285714283
280000.0,3.0,2.0,766.0,Apartment,Damansara,365.53524804177545
120000.0,3.0,1.0,646.0,Apartment,Kuala Lumpur,185.75851393188856
240000.0,3.0,2.0,980.0,Apartment,Kuala Lumpur,244.89795918367346
418000.0,3.0,2.0,926.0,Apartment,Kuala Lumpur,451.40388768898487
299000.0,3.0,2.0,920.0,Apartment,Kuala Lumpur,325.0
270000.0,3.0,2.0,750.0,Apartment,Kuala Lumpur,360.0
420000.0,3.0,2.0,1000.0,Apartment,Kuala Lumpur,420.0
550000.0,2.0,2.0,1014.0,Apartment,Kuala Lumpur,542.4063116370809
250000.0,3.0,2.0,778.0,Apartment,Others,321.3367609254499
500000.0,3.0,2.0,1316.0,Apartment,Others,379.9392097264438
300000.0,3.0,2.0,813.0,Apartment,Kuala Lumpur,369.00369003690037
300000.0,3.0,2.0,965.0,Apartment,Kuala Lumpur,310.88082901554407
950000.0,7.0,2.0,1650.0,Apartment,Others,575.7575757575758
280000.0,3.0,2.0,826.0,Apartment,Kuala Lumpur,338.9830508474576
220000.0,3.0,2.0,700.0,Apartment,Kuala Lumpur,314.2857142857143
320000.0,3.0,1.0,658.0,Apartment,Kuala Lumpur,486.322188449848
175000.0,2.0,1.0,560.0,Apartment,Kuala Lumpur,312.5
400000.0,3.0,2.0,900.0,Apartment,Others,444.44444444444446
130000.0,3.0,2.0,678.0,Apartment,Kuala Lumpur,191.74041297935102
338000.0,3.0,2.0,1170.0,Apartment,Kuala Lumpur,288.8888888888889
345000.0,3.0,2.0,1150.0,Apartment,Kuala Lumpur,300.0
285000.0,3.0,2.0,700.0,Apartment,Ampang,407.14285714285717
300000.0,3.0,2.0,745.0,Apartment,Kuala Lumpur,402.6845637583893
370000.0,3.0,2.0,1002.0,Apartment,Kuala Lumpur,369.2614770459082
580000.0,3.0,2.0,943.0,Apartment,Kuala Lumpur,615.0583244962885
185000.0,2.0,1.0,560.0,Apartment,Ampang,330.35714285714283
300000.0,3.0,2.0,870.0,Apartment,Others,344.82758620689657
300000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,352.94117647058823
155000.0,3.0,1.0,700.0,Apartment,Kuala Lumpur,221.42857142857142
400000.0,3.0,2.0,980.0,Apartment,Kuala Lumpur,408.16326530612247
949000.0,1.0,2.0,2206.0,Apartment,Kuala Lumpur,430.1903898458749
288000.0,3.0,1.0,650.0,Apartment,Kuala Lumpur,443.0769230769231
168000.0,3.0,2.0,750.0,Apartment,Others,224.0
243000.0,3.0,2.0,829.0,Apartment,Kuala Lumpur,293.124246079614
438000.0,3.0,2.0,1080.0,Apartment,Kuala Lumpur,405.55555555555554
330000.0,3.0,2.0,900.0,Apartment,Kuala Lumpur,366.6666666666667
360000.0,3.0,2.0,1000.0,Apartment,Kuala Lumpur,360.0
450000.0,2.0,1.0,550.0,Apartment,Kuala Lumpur,818.1818181818181
300000.0,3.0,2.0,1049.0,Apartment,Kuala Lumpur,285.9866539561487
590000.0,1.0,2.0,1400.0,Apartment,Ampang,421.42857142857144
218000.0,3.0,2.0,877.0,Apartment,Others,248.5746864310148
229000.0,3.0,2.0,750.0,Apartment,Others,305.3333333333333
288000.0,3.0,2.0,870.0,Apartment,Kuala Lumpur,331.0344827586207
202500.0,3.0,2.0,736.0,Apartment,Ampang,275.1358695652174
298000.0,3.0,2.0,764.0,Apartment,Damansara,390.0523560209424
216560.0,3.0,2.0,926.0,Apartment,Others,233.866090712743
265000.0,3.0,2.0,750.0,Apartment,Others,353.3333333333333
250000.0,3.0,2.0,858.0,Apartment,Others,291.3752913752914
350000.0,3.0,2.0,1008.0,Apartment,Kuala Lumpur,347.22222222222223
385000.0,3.0,2.0,920.0,Apartment,Kuala Lumpur,418.4782608695652
500000.0,2.0,2.0,1193.0,Apartment,Kuala Lumpur,419.11148365465215
520000.0,3.0,2.0,1100.0,Apartment,Kuala Lumpur,472.72727272727275
400000.0,3.0,2.0,1080.0,Apartment,Kuala Lumpur,370.3703703703704
340000.0,3.0,2.0,835.0,Apartment,Kuala Lumpur,407.18562874251495
328000.0,3.0,2.0,835.0,Apartment,Kuala Lumpur,392.81437125748505
208000.0,3.0,2.0,721.0,Apartment,Kuala Lumpur,288.4882108183079
150000.0,3.0,2.0,657.0,Apartment,Kuala Lumpur,228.31050228310502
185000.0,3.0,2.0,650.0,Apartment,Kuala Lumpur,284.61538461538464
105300.0,3.0,2.0,674.0,Apartment,Others,156.23145400593472
338000.0,3.0,2.0,764.0,Apartment,Kuala Lumpur,442.4083769633508
500000.0,3.0,2.0,1050.0,Apartment,Kuala Lumpur,476.1904761904762
415000.0,3.0,2.0,1115.0,Apartment,Kuala Lumpur,372.19730941704034
430000.0,3.0,2.0,1115.0,Apartment,Kuala Lumpur,385.6502242152466
415000.0,3.0,2.0,1119.0,Apartment,Kuala Lumpur,370.8668453976765
240000.0,3.0,2.0,938.0,Apartment,Kuala Lumpur,255.863539445629
450000.0,3.0,2.0,1100.0,Apartment,Kuala Lumpur,409.09090909090907
430000.0,3.0,2.0,1100.0,Apartment,Kuala Lumpur,390.90909090909093
570000.0,3.0,2.0,926.0,Apartment,Kuala Lumpur,615.5507559395248
830000.0,3.0,3.0,1308.0,Apartment,Others,634.5565749235474
230000.0,3.0,2.0,800.0,Apartment,Kuala Lumpur,287.5
260000.0,3.0,2.0,843.0,Apartment,Kuala Lumpur,308.4223013048636
265000.0,2.0,2.0,886.0,Apartment,Kuala Lumpur,299.09706546275396
398000.0,3.0,2.0,940.0,Apartment,Kuala Lumpur,423.40425531914894
330000.0,3.0,2.0,905.0,Apartment,Ampang,364.64088397790056
270000.0,3.0,2.0,850.0,Apartment,Others,317.6470588235294
120000.0,2.0,1.0,549.0,Apartment,Kuala Lumpur,218.5792349726776
399000.0,3.0,2.0,893.0,Apartment,Kuala Lumpur,446.8085106382979
335000.0,3.0,2.0,1200.0,Apartment,Kuala Lumpur,279.1666666666667
